term title;term slug;category title;category slug
Advertising & PR;advertising-and-pr;Advertising & PR;werbung-pr
Architecture;architecture;Architektur;architektur
Kulturgeschichte;cultural-history;Miscellaneous;sonstiges
Design;design;Design;design
Design Management;designmanagement;Design;design
Event Industry;events;Eventbranche;eventbranche
Fashion & Textile;fashion-and-textile;Mode & Textil;mode-textil
Film & Broadcast;film-and-broadcast;Film & Rundfunk;film-rundfunk
Fine Art;fine-art;Bildende Kunst;bildende-kunst
Games;games;Games & Interactive;games-interactive
Games & Interactive;games-and-interactive;Games & Interactive;games-interactive
Graphic-Design;graphic-design;Design;design
Industrial Design;industrial-design;Design;design
Literature & Publishing;literature-and-publishing;Literatur & Verlage;literatur-verlage
Music;music;Music;musik
Photography;photography;Fotografie;fotografie
Theatre & Dance;theatre-and-dance;Theatre & Dance;tanz-theater
Web;web;Games & Interactive;games-interactive
Webdesign;webdesign;Games & Interactive;games-interactive
